vas@vasm1pro:/Users/vas/repos/matemancpp$ time ./build/matemancpp
Thread ID       Duration        # of Games      File Name
0x16d5df000     1.04s           176             Breyer.pgn
0x16d4c7000     7.33s           1313            ThreeKnights.pgn
0x16d5df000     8.67s           1321            Ding.pgn
0x16d4c7000     11.40s          1796            GurevichD.pgn
0x16d89b000     91.13s          15681           Vienna.pgn
0x16d66b000     73.08s          12346           RuyLopezOther3.pgn
0x16d6f7000     93.34s          15330           CatalanClosed.pgn
0x16d66b000     5.59s           1034            Oll.pgn
0x16d5df000     61.08s          10073           Slav4a6.pgn
0x16d4c7000     61.90s          10651           Caro-Kann4Nd7.pgn
0x16d66b000     7.20s           1136            Quinteros.pgn
0x16d6f7000     11.61s          1825            PolgarJ.pgn
0x16d553000     98.74s          16538           FrenchKIA.pgn
0x16d5df000     12.05s          1926            So.pgn
0x16d5df000     2.29s           354             Levenfish.pgn
0x16d66b000     10.49s          1581            Wang.pgn
0x16d80f000     122.42s         19961           KIDClassical.pgn
0x16d553000     6.41s           973             Bogoljubow.pgn
0x16d89b000     64.38s          10720           English1Nf6-2Nf3.pgn
0x16d66b000     8.94s           1552            Lputian.pgn
0x16d66b000     0.03s           6               Philidor.pgn
0x16d80f000     6.63s           1265            Unzicker.pgn
0x16d4c7000     24.03s          4079            SemiBenoni.pgn
0x16d4c7000     7.98s           1313            Akobian.pgn
0x16d80f000     14.48s          2717            Andersson.pgn
0x16d783000     140.13s         23497           FrTarrasch3Nf6.pgn
0x16d80f000     5.78s           1057            Spielmann.pgn
0x16d553000     35.26s          5986            GrunfeldFianchetto.pgn
0x16d553000     3.21s           551             Saemisch.pgn
0x16d783000     10.58s          2196            Ribli.pgn
0x16d80f000     20.02s          3353            Modern3Nc3Other.pgn
0x16d553000     13.12s          2180            Alekseev.pgn
0x16d4c7000     34.45s          5633            Catalan3Bb4.pgn
0x16d6f7000     66.39s          11573           NimzoDefense.pgn
0x16d783000     17.24s          2750            VachierLagrave.pgn
0x16d5df000     62.50s          10864           Scotch4Bc5.pgn
0x16d66b000     52.77s          9339            Scand2Nf6-3d4.pgn
0x16d783000     5.49s           986             Flohr.pgn
0x16d66b000     8.65s           1598            Tkachiev.pgn
0x16d6f7000     33.95s          5987            SicilianNajdorf6f4.pgn
0x16d66b000     22.48s          3695            RuyLopezArchangelsk.pgn
0x16d5df000     36.28s          6567            RuyLopezSchliemann.pgn
0x16d4c7000     66.05s          11758           Scand2Nf6Other.pgn
0x16d4c7000     15.61s          2459            Paehtz.pgn
0x16d6f7000     54.83s          9445            QGD5Bf4.pgn
0x16d4c7000     9.03s           1458            Volokitin.pgn
0x16d89b000     146.87s         25061           KIDSaemisch.pgn
0x16d4c7000     10.60s          1873            Panno.pgn
0x16d6f7000     11.66s          1685            Hou.pgn
0x16d89b000     11.12s          1755            Bu.pgn
0x16d6f7000     4.43s           688             Chigorin.pgn
0x16d4c7000     9.84s           1661            Alekhine.pgn
0x16d89b000     7.76s           1209            Li.pgn
0x16d6f7000     10.20s          1707            Benjamin.pgn
0x16d783000     112.50s         19225           SicilianClosedMain.pgn
0x16d4c7000     12.00s          1796            WangH.pgn
0x16d66b000     92.75s          15616           SicilianClassicalOther6.pgn
0x16d6f7000     11.92s          1896            Jobava.pgn
0x16d4c7000     8.37s           1412            IllescasCordoba.pgn
0x16d4c7000     5.83s           977             Shamkovich.pgn
0x16d5df000     99.11s          17309           FrenchOther2.pgn
0x16d783000     22.85s          3828            Anand.pgn
0x16d6f7000     14.04s          2417            Vaganian.pgn
0x16d66b000     14.61s          2437            VallejoPons.pgn
0x16d553000     162.38s         28015           Modern3Nc3-d6.pgn
0x16d783000     22.55s          3914            English1b6.pgn
0x16d66b000     27.36s          4367            SicilianNajdorf6g3.pgn
0x16d66b000     10.74s          1930            Bronstein.pgn
0x16d89b000     71.76s          11896           ModernBenoni6Nf3.pgn
0x16d4c7000     51.75s          9371            SicilianSmith-Morra.pgn
0x16d89b000     7.16s           1267            Reshevsky.pgn
0x16d89b000     2.35s           404             Denker.pgn
0x16d5df000     65.69s          12654           KingsGambit.pgn
0x16d89b000     12.86s          2234            CatalanOpen.pgn
0x16d89b000     7.58s           1346            Chiburdanidze.pgn
0x16d6f7000     78.45s          13203           NimzoCl4O-O.pgn
0x16d89b000     6.54s           1164            Kaidanov.pgn
0x16d66b000     39.24s          6753            AlekhineOther3.pgn
0x16d89b000     5.89s           919             Lahno.pgn
0x16d6f7000     5.30s           1013            Byrne.pgn
0x16d783000     67.78s          11808           EnglishSymMain.pgn
0x16d5df000     25.55s          4196            Ivanchuk.pgn
0x16d5df000     8.04s           1464            Yudasin.pgn
0x16d89b000     14.36s          2537            Uhlmann.pgn
0x16d5df000     17.23s          2655            Stefanova.pgn
0x16d783000     25.69s          4361            NimzoOther4.pgn
0x16d553000     105.62s         17517           NimzoRub4O-O.pgn
0x16d89b000     28.12s          4706            SicilianNajdorf6f3.pgn
0x16d80f000     296.60s         50299           BenkoGambit.pgn
0x16d89b000     20.77s          3344            Gelfand.pgn
0x16d80f000     8.84s           1519            Seirawan.pgn
0x16d89b000     13.98s          2495            QGSym-Baltic.pgn
0x16d80f000     8.89s           1571            Keres.pgn
0x16d6f7000     110.43s         18627           English1c6.pgn
0x16d6f7000     12.08s          2068            Jussupow.pgn
0x16d4c7000     165.12s         27441           SicilianMoscow.pgn
0x16d6f7000     15.47s          2794            Ehlvest.pgn
0x16d89b000     64.87s          10763           QID4a3.pgn
0x16d5df000     121.14s         20685           FrWinawerMain.pgn
0x16d783000     123.15s         21197           SicilianKan5Nc3.pgn
0x16d4c7000     27.81s          4910            EnglishFlohr-Mikenas.pgn
0x16d80f000     100.34s         17039           SemiSlavBotvinnik.pgn
0x16d783000     24.95s          4379            SicilianDragonOther6.pgn
0x16d89b000     41.99s          7387            KID4pawns.pgn
0x16d80f000     4.07s           641             Kotov.pgn
0x16d553000     150.70s         25786           TwoKnights.pgn
0x16d66b000     196.77s         33700           SemiSlavMeran.pgn
0x16d553000     16.56s          2895            SicilianKanOther5.pgn
0x16d783000     30.50s          5270            Sokolsky.pgn
0x16d89b000     30.12s          5011            EnglishSymHedgehog.pgn
0x16d80f000     36.65s          6304            QGDOrthoOther4.pgn
0x16d553000     18.17s          3277            Svidler.pgn
0x16d80f000     7.81s           1462            Pachman.pgn
0x16d783000     20.97s          3492            Karpov.pgn
0x16d553000     17.18s          2681            Bologan.pgn
0x16d80f000     18.27s          3152            NimzoSaemisch.pgn
0x16d80f000     11.24s          1926            Bareev.pgn
0x16d80f000     6.07s           1027            Marshall.pgn
0x16d89b000     57.56s          9891            Scotch4Nf6.pgn
0x16d66b000     85.27s          14169           English1Nf6-2g3.pgn
0x16d783000     47.93s          8318            EnglishSymFourKnights.pgn
0x16d6f7000     148.10s         25104           SicilianMisc2.pgn
0x16d5df000     140.58s         22978           Caro-KannClassic.pgn
0x16d66b000     19.94s          3184            RuyLopezAntiMarshall.pgn
0x16d553000     56.81s          9222            Caro-KannEx.pgn
0x16d66b000     5.01s           784             IvanovI.pgn
0x16d4c7000     195.78s         32609           GiuocoPiano.pgn
0x16d66b000     49.75s          8161            QID4Nc3.pgn
0x16d89b000     83.38s          13475           RuyLopezExchange.pgn
0x16d80f000     90.36s          14465           FrenchSteinitz.pgn
0x16d80f000     3.87s           699             Stein.pgn
0x16d553000     68.04s          11372           SicilianClassicalSozin.pgn
0x16d5df000     94.85s          15481           EnglishSymOtherB3.pgn
0x16d4c7000     40.28s          6754            KIDPetrosian.pgn
0x16d783000     119.31s         19464           KIDFianchetto.pgn
0x16d89b000     52.65s          10474           DutchOther.pgn
0x16d80f000     49.11s          9400            Sicilian2d6-4Qxd4.pgn
0x16d6f7000     131.14s         24223           FrenchAdvance.pgn
0x16d66b000     91.50s          21546           SicilianNajdorf6Bg5.pgn
./build/matemancpp  17758.65s user 156.81s system 738% cpu 40:25.46 total
